timestamp,ear,perclos,mar,state,drowsy_score
2026-06-29T20:24:28.912125,0.4102116662718224,,2.7954449612223913,DROWSY,10.0
2026-06-29T20:24:30.546516,0.4077244383258524,,2.8651141645398255,DROWSY,19.7
2026-06-29T20:24:32.139513,0.4047651570443227,,2.8629285373847875,DROWSY,29.4
2026-06-29T20:24:33.743642,0.4032597906328595,,2.753200141981038,DROWSY,39.099999999999994
2026-06-29T20:24:35.407755,0.40170315724749306,,2.8154212253925395,DROWSY,48.8
2026-06-29T20:24:37.019613,0.3946210332532645,,1.0759043216081408,DROWSY,58.5
2026-06-29T20:24:38.624157,0.38626520492347566,,1.33191730189268,DROWSY,68.2
2026-06-29T20:24:40.248771,0.3789211889975347,,2.7976918299112725,DROWSY,77.9
2026-06-29T20:24:41.840081,0.3730816347909294,,2.8142555563012706,DROWSY,87.60000000000001
2026-06-29T20:24:43.399846,0.3684687596929534,,2.87950541934771,DROWSY,97.30000000000001
2026-06-29T20:24:45.006353,0.3651673784278879,,2.7233788001572496,DROWSY,100.0
2026-06-29T20:24:46.655982,0.3641686896670453,,2.502078028975692,DROWSY,100.0
2026-06-29T20:24:48.251350,0.36394421035727226,,2.661119614528739,DROWSY,100.0
2026-06-29T20:24:49.863859,0.3632928917663501,,2.6192134258375215,DROWSY,100.0
2026-06-29T20:24:51.519260,0.3631044177789838,,2.770612571138423,DROWSY,100.0
2026-06-29T20:24:53.149016,0.36186771563395626,,2.6284143796353248,DROWSY,100.0
2026-06-29T20:24:54.802583,0.3615357551470094,,2.6888626318031856,DROWSY,100.0
2026-06-29T20:24:56.406107,0.35811828982713284,,2.6814219027139408,DROWSY,100.0
2026-06-29T20:24:57.962974,0.3556086459902164,,2.758114711091988,DROWSY,100.0
2026-06-29T20:24:59.548267,0.3552980651762677,,2.751200407141999,DROWSY,100.0
2026-06-29T20:25:01.123735,0.35577890386021743,,1.9410595005482816,DROWSY,100.0
2026-06-29T20:25:02.718306,0.35510897673064346,,2.3182300324512366,DROWSY,100.0
2026-06-29T20:25:04.294132,0.3540956638480425,,2.707558787953643,DROWSY,100.0
2026-06-29T20:25:05.899921,0.3512226389656406,,2.7853240790905356,DROWSY,100.0
2026-06-29T20:25:07.500726,0.34828919240942846,,2.692760157067854,DROWSY,100.0
2026-06-29T20:25:09.112730,0.3446742041844085,,2.7573172252452243,DROWSY,100.0
2026-06-29T20:25:10.734016,0.3411534300695475,,2.698728894881978,DROWSY,100.0
2026-06-29T20:25:12.361197,0.3366284829971172,,2.7510050397777377,DROWSY,100.0
2026-06-29T20:25:13.966281,0.3315748558500189,,2.6860515161135514,DROWSY,100.0
2026-06-29T20:25:15.556739,0.32792385720053635,,2.776857740073967,DROWSY,100.0
2026-06-29T20:25:17.134244,0.322970170621203,,2.6732472933944913,DROWSY,100.0
2026-06-29T20:25:18.741892,0.3192435972198922,,2.8583963031801396,DROWSY,100.0
2026-06-29T20:25:20.424739,0.3174188321973034,,2.904268964934621,DROWSY,100.0
2026-06-29T20:25:22.074465,0.3175850660411649,,2.7647457081776836,DROWSY,100.0
