timestamp,ear,perclos,state,drowsy_score
2026-06-29T13:11:14.202005,0.40882214984299275,,AWAKE,0.0
2026-06-29T13:11:14.439164,0.40713920176121504,,AWAKE,0.0
2026-06-29T13:11:14.652327,0.40845418052569166,,AWAKE,0.0
2026-06-29T13:11:14.816722,0.4108404741661888,,AWAKE,0.0
2026-06-29T13:11:14.984385,0.4130845528211715,,AWAKE,0.0
2026-06-29T13:11:15.152086,0.41456732832644094,,AWAKE,0.0
2026-06-29T13:11:15.317358,0.4162241364180511,,AWAKE,0.0
2026-06-29T13:11:15.486466,0.4177923418166918,,AWAKE,0.0
2026-06-29T13:11:15.659580,0.4077356962362609,,AWAKE,0.0
2026-06-29T13:11:15.800103,0.39956539638858074,,AWAKE,0.0
2026-06-29T13:11:15.941097,0.39385178711213276,,AWAKE,0.0
2026-06-29T13:11:16.097483,0.39028273783305634,,AWAKE,0.0
2026-06-29T13:11:16.264607,0.3891701476163724,,AWAKE,0.0
2026-06-29T13:11:16.410370,0.38964888034882644,,AWAKE,0.0
2026-06-29T13:11:16.567244,0.38137376083416735,,AWAKE,0.0
2026-06-29T13:11:16.709890,0.3742203036752467,,AWAKE,0.0
2026-06-29T13:11:16.849285,0.36801448746246057,,AWAKE,0.0
2026-06-29T13:11:16.990120,0.3623289327914934,,AWAKE,0.0
2026-06-29T13:11:17.130541,0.3594489840495182,,AWAKE,0.0
2026-06-29T13:11:17.268922,0.3590179912479235,,AWAKE,0.0
2026-06-29T13:11:17.408488,0.36131495973993183,,AWAKE,0.0
2026-06-29T13:11:17.550259,0.36473164079766207,,AWAKE,0.0
2026-06-29T13:11:17.703191,0.3693143262701749,,AWAKE,0.0
2026-06-29T13:11:17.841379,0.37358553220365154,,AWAKE,0.0
2026-06-29T13:11:17.992857,0.376581109463564,,AWAKE,0.0
2026-06-29T13:11:18.136396,0.3786582352238631,,AWAKE,0.0
2026-06-29T13:11:18.285501,0.37971127150300865,,AWAKE,0.0
2026-06-29T13:11:18.435062,0.38056561863045757,,AWAKE,0.0
2026-06-29T13:11:18.584589,0.3808607343369931,,AWAKE,0.0
2026-06-29T13:11:18.734258,0.38063403971050097,,AWAKE,0.0
2026-06-29T13:11:18.885074,0.38000813249907517,,AWAKE,0.0
2026-06-29T13:11:19.024278,0.3781869743429815,,AWAKE,0.0
2026-06-29T13:11:19.168088,0.37512687774567377,,AWAKE,0.0
2026-06-29T13:11:19.352165,0.36878702053650886,,AWAKE,0.0
2026-06-29T13:11:19.492699,0.3637595659316034,,AWAKE,0.0
2026-06-29T13:11:19.647124,0.3608578787514953,,AWAKE,0.0
2026-06-29T13:11:19.787548,0.35939319060446123,,AWAKE,0.0
2026-06-29T13:11:19.928939,0.35886784734308774,,AWAKE,0.0
2026-06-29T13:11:20.082344,0.3607013540294556,,AWAKE,0.0
2026-06-29T13:11:20.233170,0.36598268130027567,,AWAKE,0.0
2026-06-29T13:11:20.372574,0.37314140882782254,,AWAKE,0.0
2026-06-29T13:11:20.520614,0.3817717632619267,,AWAKE,0.0
2026-06-29T13:11:20.669585,0.39069397516226345,,AWAKE,0.0
2026-06-29T13:11:20.815822,0.39944023160235853,,AWAKE,0.0
2026-06-29T13:11:20.970501,0.4072577779028012,,AWAKE,0.0
2026-06-29T13:11:21.110943,0.41465007802097686,,AWAKE,0.0
2026-06-29T13:11:21.255546,0.42161929341322874,,AWAKE,0.0
2026-06-29T13:11:21.402999,0.41536690667767434,,AWAKE,0.0
2026-06-29T13:11:21.552014,0.4097023360708701,,AWAKE,0.0
2026-06-29T13:11:21.693407,0.40850669774283227,,AWAKE,0.0
2026-06-29T13:11:21.831317,0.41102791530765387,,AWAKE,0.0
2026-06-29T13:11:21.983901,0.41542913244240787,,AWAKE,0.0
2026-06-29T13:11:22.131288,0.4208871784750923,,AWAKE,0.0
2026-06-29T13:11:22.278721,0.4271261804772103,,AWAKE,0.0
2026-06-29T13:11:22.428660,0.43304440838302516,,AWAKE,0.0
2026-06-29T13:11:22.571225,0.43837469075960817,,AWAKE,0.0
2026-06-29T13:11:22.713243,0.4429984303571532,,AWAKE,0.0
2026-06-29T13:11:22.865925,0.4469507406569675,,AWAKE,0.0
2026-06-29T13:11:23.011247,0.45090180323616763,,AWAKE,0.0
2026-06-29T13:11:23.154892,0.45392518020935063,,AWAKE,0.0
2026-06-29T13:11:23.295241,0.45642989643087706,,AWAKE,0.0
2026-06-29T13:11:23.438690,0.4587614547552988,,AWAKE,0.0
2026-06-29T13:11:23.596550,0.4603916731980425,,AWAKE,0.0
2026-06-29T13:11:23.756100,0.4612525228013363,,AWAKE,0.0
2026-06-29T13:11:23.911061,0.461383009093849,,AWAKE,0.0
2026-06-29T13:11:24.064043,0.46098128385435455,,AWAKE,0.0
2026-06-29T13:11:24.226360,0.46036125470375455,,AWAKE,0.0
2026-06-29T13:11:24.381893,0.4593703018122214,,AWAKE,0.0
2026-06-29T13:11:24.519775,0.4579914792853835,,AWAKE,0.0
2026-06-29T13:11:24.661203,0.45695836593470135,,AWAKE,0.0
2026-06-29T13:11:24.801837,0.4565187162737595,,AWAKE,0.0
2026-06-29T13:11:24.947595,0.45598173380667223,,AWAKE,0.0
2026-06-29T13:11:25.086454,0.4558668080300971,,AWAKE,0.0
2026-06-29T13:11:25.231341,0.45442820045930143,,AWAKE,0.0
2026-06-29T13:11:25.371948,0.45400096569819054,,AWAKE,0.0
2026-06-29T13:11:25.512322,0.4538021459339848,,AWAKE,0.0
2026-06-29T13:11:25.654950,0.444408879361536,,AWAKE,0.0
2026-06-29T13:11:25.801428,0.4376866804056455,,AWAKE,0.0
2026-06-29T13:11:25.939987,0.43237697608573716,,AWAKE,0.0
2026-06-29T13:11:26.085928,0.42767777703369025,,AWAKE,0.0
2026-06-29T13:11:26.237840,0.42385268939199156,,AWAKE,0.0
2026-06-29T13:11:26.391657,0.4209915393915258,,AWAKE,0.0
2026-06-29T13:11:26.537962,0.41887873990790975,,AWAKE,0.0
2026-06-29T13:11:26.694190,0.41742931425389246,,AWAKE,0.0
2026-06-29T13:11:26.832916,0.4160662666070108,,AWAKE,0.0
2026-06-29T13:11:27.004214,0.41431575176599045,,AWAKE,0.0
2026-06-29T13:11:27.153803,0.412507618207945,,AWAKE,0.0
2026-06-29T13:11:27.294617,0.41057236164396854,,AWAKE,0.0
2026-06-29T13:11:27.438673,0.4091938490644887,,AWAKE,0.0
2026-06-29T13:11:27.604896,0.4086154810790802,,AWAKE,0.0
2026-06-29T13:11:27.788577,0.40837088380214887,,AWAKE,0.0
